SKU,CSV_Name,DB_Name,Old_Price,New_Price
FWBA24SS02,Túi Xách Nữ Tiện Dụng FWBA24SS02,Túi Xách Nữ Tiện Dụng FWBA24SS02,500000.0,1249000.0
FWBE23SS01,Thắt Lưng Nữ Thời Trang FWBE23SS01,Thắt Lưng Nữ Thời Trang FWBE23SS01,500000.0,799000.0
FWBE23SS02,Thắt Lưng Nữ Cá Tính FWBE23SS02,Thắt Lưng Nữ Cá Tính FWBE23SS02,500000.0,799000.0
FWBL25SS01C,Áo Blouse Nữ Thời Trang FWBL25SS01C,Áo Blouse Nữ Thời Trang FWBL25SS01C,500000.0,449000.0
FWBL25SS02C,Áo Nữ Thời Trang FWBL25SS02C,Áo Nữ Thời Trang FWBL25SS02C,500000.0,449000.0
FWBL25SS03C,Áo Blouse Freelancer FWBL25SS03C,Áo Blouse Freelancer FWBL25SS03C,500000.0,549000.0
FWBL25SS07C,Áo Blouse Cổ Trụ Freelancer FWBL25SS07C,Áo Blouse Cổ Trụ Freelancer FWBL25SS07C,500000.0,399000.0
FWBL25SS09C,Áo kiểu Nữ thời trang FWBL25SS09C,Áo kiểu Nữ thời trang FWBL25SS09C,500000.0,399000.0
FWDP24FH01C,Quần Tây Slimfit Freelancer FWDP24FH01C,Quần Tây Slimfit Freelancer FWDP24FH01C,500000.0,449000.0
FWDP24FH02C,Quần Tây Suông Lưng Cao FWDP24FH02C,Quần Tây Suông Lưng Cao FWDP24FH02C,500000.0,499000.0
FWDP24SS02C,Quần Tây Nữ Dáng Baggy Thanh Lịch FWDP24SS02C,Quần Tây Nữ Dáng Baggy Thanh Lịch FWDP24SS02C,680000.0,399000.0
FWDP24SS03C,Quần Tây Nữ Ống Suông FWDP24SS03C,Quần Tây Nữ Ống Suông FWDP24SS03C,500000.0,399000.0
FWDP24SS05C,Quần Tây Nữ Basic FWDP24SS05C,Quần Tây Nữ Basic FWDP24SS05C,500000.0,429000.0
FWDP24SS06C,Quần Tây Nữ Basic FWDP24SS06C,Quần Tây Nữ Basic FWDP24SS06C,500000.0,429000.0
FWDP25SS04C,Quần Tây Ống Rộng Freelancer - FWDP25SS04C,Quần Tây Ống Rộng Freelancer - FWDP25SS04C,500000.0,499000.0
FWDR24FH03C,Đầm Nữ Cổ Vest Thanh Lịch FWDR24FH03C,Đầm Nữ Cổ Vest Thanh Lịch FWDR24FH03C,500000.0,599000.0
FWDR24FH04G,Đầm Nữ Họa Tiết Hoa Nhí FWDR24FH04G,Đầm Nữ Họa Tiết Hoa Nhí FWDR24FH04G,500000.0,649000.0
FWDR24FH05C,Đầm Sát Nách Cổ Tròn FWDR24FH05C,Đầm Sát Nách Cổ Tròn FWDR24FH05C,500000.0,699000.0
FWDR24FH06C,Đầm Nữ Dáng Vest FWDR24FH06C,Đầm Nữ Dáng Vest FWDR24FH06C,500000.0,699000.0
FWDR24FH10C,Đầm Nữ Thanh Lịch FWDR24FH10C,Đầm Nữ Thanh Lịch FWDR24FH10C,500000.0,649000.0
FWDR24FH11G,Đầm Sát Nách Cổ Tròn FWDR24FH11G,Đầm Sát Nách Cổ Tròn FWDR24FH11G,500000.0,699000.0
FWDR24FH23G,Đầm Nữ Thời Trang FWDR24FH23G,Đầm Nữ Thời Trang FWDR24FH23G,500000.0,649000.0
FWDR24FH24G,Đầm Sơ Mi Nữ Tính FWDR24FH24G,Đầm Sơ Mi Nữ Tính FWDR24FH24G,500000.0,659000.0
FWDR24FH26C,Đầm nữ Thanh Lịch FWDR24FH26C,Đầm nữ Thanh Lịch FWDR24FH26C,500000.0,599000.0
FWDR24FH27G,Đầm Sơ Mi Nữ Form Suông FWDR24FH27G,Đầm Sơ Mi Nữ Form Suông FWDR24FH27G,500000.0,599000.0
FWDR24SS16G,Đầm Polo Cá Tính FWDR24SS16G,Đầm Polo Cá Tính FWDR24SS16G,500000.0,549000.0
FWDR24SS30G,Đầm Cách Điệu Thời Trang FWDR24SS30G,Đầm Cách Điệu Thời Trang FWDR24SS30G,500000.0,549000.0
FWDR25SS010G,Đầm Nữ Dáng Xòe Cổ Trụ Thanh Lịch FWDR25SS010G,Đầm Nữ Dáng Xòe Cổ Trụ Thanh Lịch FWDR25SS010G,500000.0,649000.0
FWDR25SS016G,Đầm nữ thời trang FWDR25SS016G,Đầm nữ thời trang FWDR25SS016G,500000.0,649000.0
FWDR25SS04G,Đầm Nữ Dáng Xòe Cổ V Phối Dây FWDR25SS04G,Đầm Nữ Dáng Xòe Cổ V Phối Dây FWDR25SS04G,500000.0,649000.0
FWDR25SS08G,Đầm Nữ Thời Trang FWDR25SS08G,Đầm Nữ Thời Trang FWDR25SS08G,500000.0,649000.0
FWDR25SS09C,Áo Đầm Tay Lỡ Nữ Tính FWDR25SS09C,Đầm Tay Lỡ Nữ Tính FWDR25SS09C,500000.0,649000.0
FWDR25SS25G,Đầm Nữ Họa Tiết FWDR25SS25G,Đầm Nữ Họa Tiết FWDR25SS25G,500000.0,549000.0
FWDR25SS32G,Đầm Denim Sát Nách Cổ Sơ Mi FWDR25SS32G,Đầm Denim Sát Nách Cổ Sơ Mi FWDR25SS32G,500000.0,699000.0
FWJN24FH01G,Quần Jean Nữ Ống Loe FWJN24FH01G,Quần Jean Nữ Ống Loe FWJN24FH01G,500000.0,599000.0
FWJN24FH03G,Quần Jeans Cargo Freelancer FWJN24FH03G,Quần Jeans Cargo Freelancer FWJN24FH03G,500000.0,699000.0
FWJN24FH05G,Quần Jean Nữ Ống Rộng FWJN24FH05G,Quần Jean Nữ Ống Rộng FWJN24FH05G,500000.0,699000.0
FWJN24FH08G,Quần Jeans Ống Rộng Freelancer FWJN24FH08G,Quần Jeans Ống Rộng Freelancer FWJN24FH08G,500000.0,599000.0
FWJN24SS09G,Quần Jeans Nữ Ống Suông FWJN24SS09G,Quần Jeans Nữ Ống Suông FWJN24SS09G,500000.0,649000.0
FWJN25SS09C,Quần Jeans Ống Rộng Màu Đen FWJN25SS09C,Quần Jeans Ống Rộng Màu Đen FWJN25SS09C,500000.0,599000.0
FWJN25SS10C,Quần Jean Trắng Ống Rộng Freelancer FWJN25SS10C,Quần Jean Trắng Ống Rộng Freelancer FWJN25SS10C,500000.0,599000.0
FWKS25SS11G,Áo Polo Nữ Cổ Lưới FWKS25SS11G,Áo Polo Nữ Cổ Lưới FWKS25SS11G,500000.0,449000.0
FWSG23SS01G,Combo Mắt Kính Nữ FWSG23SS01G + Hộp Mắt Kính SG23-BOX2,Combo Mắt Kính Nữ FWSG23SS01G + Hộp Mắt Kính SG23-BOX2,500000.0,418000.0
FWSG23SS02G,Combo Mắt Kính Nữ FWSG23SS02G + Hộp Mắt Kính SG23-BOX1,Combo Mắt Kính Nữ FWSG23SS02G + Hộp Mắt Kính SG23-BOX1,500000.0,408000.0
