SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS24SS49C-SD,Áo Sơ Mi Công Sở Tay Ngắn WS24SS49C-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.182501+07
WS24SS47P-LC,Áo Sơ Mi Caro Tay Dài Form Vừa WS24SS47P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.181882+07
WS24SS44P-SDBB,Áo Sơ Mi Form Vừa Tay Ngắn WS24SS44P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.181179+07
WS24SS41P-SC,Áo Sơ Mi Nam Tay Ngắn WS24SS41P-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.180503+07
WS24SS40C-LDBB,Áo Sơ Mi Bamboo Tay Dài Có Túi WS24SS40C-LDBB,750000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.179848+07
WS24SS37C-LD,Áo Sơ Mi Nam Form Vừa Tay Dài WS24SS37C-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.17907+07
WS24SS36P-SD,SƠ MI NAM COTTON CAO CẤP WS24SS36P-SD,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.178444+07
WS24SS35P-SC,Áo Sơ Mi Oxford Tay Ngắn Form Vừa WS24SS35P-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.177845+07
WS24SS34P-LC,Áo Sơ Mi Nam Form Vừa WS24SS34P-LC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.17708+07
WS24SS33T-SD,Áo Sơ Mi Nam Form Vừa Tay Ngắn WS24SS33T-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.176342+07
WS24SS31C-SC,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24SS31C-SC,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.175692+07
WS24SS29P-SDBB,Áo Sơ Mi Ca-rô Form Vừa Tay Ngắn WS24SS29P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.17503+07
WS24SS28P-LC,Áo Sơ Mi Nam Tay Dài WS24SS28P-LC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.17439+07
WS24SS15P-SCRG,Áo Sơ Mi Denim Tay Ngắn WS24SS15P-SCRG,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.173304+07
WS24SS14P-SC,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24SS14P-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.172733+07
WS24SS11P-LC,Áo Sơ Mi Caro Tay Dài Form Vừa WS24SS11P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.172122+07
WS24SS09C-SDBB,Áo Sơ Mi Form Vừa WS24SS09C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.171467+07
WS24SS05P-LC,Áo Sơ Mi Caro Tay Dài Form Vừa WS24SS05P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.17085+07
WS24SS02T-SCBB,Áo Sơ Mi Form Vừa Tay Ngắn WS24SS02T-SCBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.170231+07
WS24SS01C-SC,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24SS01C-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.16951+07
WS24FH91C-LDBB,Áo Sơ Mi Form Vừa Tay Dài WS24FH91C-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.168932+07
WS24FH90P-LD,Áo Sơ Mi Form Ôm Tay Dài WS24FH90P-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.168329+07
WS24FH89T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24FH89T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.167721+07
WS24FH88P-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24FH88P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.167117+07
WS24FH87P-LC,Áo Sơ Mi Nam Tay Dài WS24FH87P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.166442+07
WS24FH86P-SCBB,Áo Sơ Mi Tay Ngắn WS24FH86P-SCBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.165831+07
WS24FH85P-LCBB,Áo Sơ Mi Caro Tay Dài Form Ôm WS24FH85P-LCBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.165217+07
WS24FH84T-SDBB,Áo Sơ Mi Tay Ngắn Form Ôm WS24FH84T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.164454+07
WS24FH83T-SCBB,Áo Sơ Mi Tay Ngắn Form Ôm WS24FH83T-SCBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.163795+07
WS24FH82T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS24FH82T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.163129+07
WS24FH81C-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS24FH81C-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.162507+07
WS24FH80T-LCRG,Áo Sơ Mi Nam Tay Dài Form Vừa WS24FH80T-LCRG,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.161882+07
WS24FH79C-LC,Áo Sơ Mi Nam Caro Form Ôm WS24FH79C-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.161267+07
WS24FH78C-SDBB,Áo Sơ Mi Tay Ngắn Form Ôm WS24FH78C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.160663+07
WS24FH77C-SC,Áo Sơ Mi Tay Ngắn WS24FH77C-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.160037+07
WS24FH76C-SDBB,Áo Sơ Mi Form Vừa WS24FH76C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.159361+07
WS24FH75P-SDBB,Áo Sơ Mi Tay Ngắn Form Ôm WS24FH75P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.158725+07
WS24FH74P-SDBB,Áo Sơ Mi Form Vừa Tay Ngắn WS24FH74P-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.158116+07
WS24FH73T-SDBB,Áo Sơ Mi Tay Ngắn WS24FH73T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.15743+07
WS24FH72P-SC,Áo Sơ Mi Tay Ngắn WS24FH72P-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.156712+07
WS24FH71T-SDBB,Áo Sơ Mi Công Sở Tay Ngắn WS24FH71T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.156104+07
WS24FH70T-SDBB,Áo Sơ Mi Tay Ngắn Form Vừa WS24FH70T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.155416+07
WS24FH69C-LD,Áo Sơ Mi Tay Dài Form Ôm WS24FH69C-LD,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.154812+07
WS24FH68P-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS24FH68P-SD,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.154182+07
WS24FH67P-LD,Áo Sơ Mi Tay Dài Form Ôm WS24FH67P-LD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.15352+07
WS24FH66T-LDBB,Áo Sơ Mi Tay Dài Form Ôm WS24FH66T-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.15265+07
WS24FH65T-LD,Áo Sơ Mi Nam Tay Dài Form Vừa WS24FH65T-LD,750000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.135559+07
WS24FH64T-SD,Áo Sơ Mi Tay Ngắn WS24FH64T-SD,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.134887+07
WS24FH63C-SDBB,Áo Sơ Mi Công Sở Tay Ngắn WS24FH63C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.134271+07
WS24FH62C-SD,Áo Sơ Mi Tay Ngắn Form Vừa WS24FH62C-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.133615+07
WS24FH61C-SCRX,Áo Sơ Mi Tay Ngắn WS24FH61C-SCRX,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.132967+07
